,Product Image Is Thumbnail - 2,Product Image Description - 2,Product UPC/EAN,Product Image Sort - 5,Free Shipping,Product Image Path - 3,Product Image Path - 4,Allow Purchases?,Page Title,Price,Product Image File - 5,Product Image Path - 1,Width,Product Image URL - 5,Brand Name,Product Image Index - 4,Product Image Index - 1,Track Inventory,Product Image ID - 3,Product Image Description - 1,Product Image Description - 3,Product Image Sort - 4,Product Image ID - 5,Product Image Path - 5,Fixed Shipping Price,Product Image Sort - 2,Product Type,Product Image Index - 2,Product Image URL - 4,Product Inventoried,Product Image File - 3,Product Image Path - 2,Height,Sale Price,Product ID,Product Image Is Thumbnail - 5,Product Image URL - 1,Product Image ID - 4,Product Name,Product Image File - 1,Product Image URL - 3,Category,Product Image Description - 5,Product Image Is Thumbnail - 4,Option Set,Search Keywords,Product Visible?,Description,Product Image ID - 2,Product Image Index - 5,Product Image Is Thumbnail - 3,Meta Description,Product Image Description - 4,Product Warranty,Product Description,Product Image File - 4,Depth,Product Image File - 2,Product Image ID - 1,Product Code/SKU,Current Stock Level,Product Image Sort - 3,Product Image Is Thumbnail - 1,Product Image Index - 3,Cost Price,Item Type,Product Image Sort - 1,Meta Keywords,Product Image URL - 2,Retail Price,Product Weight
43732,,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",3607682470908,5.0,,,,N,X-Ium Carb Prem. Skate 18-19,699.95,,,,,Rossignol Snowboards,,,by product,,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40","X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",4.0,,,,2.0,P,,,Y,,,,489.97,,,,,X-Ium Carb Prem. Skate 18-19,,,Ski/Accessory,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",,X-Ium Carb Prem. Skate 18-19,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",N,,,,,,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",,,,,,,2-12891,0.0,3.0,,,356.46,Product,1.0,"X-Ium, Carb, Prem., Skate, 18-19, Rossignol, Snowboards, , 40",,805.0,0.0
43733,,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",3607682471226,5.0,,,,N,X-Ium Premium Pursuit 18-19,599.95,,,,,Rossignol Ski,,,by product,,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46","X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",4.0,,,,2.0,P,,,Y,,,,599.95,,,,,X-Ium Premium Pursuit 18-19,,,Ski/Accessory,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",,X-Ium Premium Pursuit 18-19,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",N,,,,,,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",,,,,,,2-12895,0.0,3.0,,,305.76,Product,1.0,"X-Ium, Premium, Pursuit, 18-19, Rossignol, Ski, , 46",,599.95,0.0
43734,,"X-Mission, 3, 2016, Salomon, Ski, , ",887850842970,5.0,,,,Y,X-Mission 3 2016,114.95,,,,,Salomon Ski,,,by option,,"X-Mission, 3, 2016, Salomon, Ski, , ","X-Mission, 3, 2016, Salomon, Ski, , ",4.0,,,,2.0,P,,,Y,,,,114.95,,,,,X-Mission 3 2016,15676_0.jpg,,Lifestyle/Men/Shoes,"X-Mission, 3, 2016, Salomon, Ski, , ",,X-Mission 3 2016,"X-Mission, 3, 2016, Salomon, Ski, , ",Y,,,,,,"X-Mission, 3, 2016, Salomon, Ski, , ",,,,,,,0-15676,2.0,3.0,,,58.19,Product,1.0,"X-Mission, 3, 2016, Salomon, Ski, , ",,115.0,0.0
43735,,,887850842970,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,114.95,,,,,"[RT]Color=NTFRSTBL,[RB]Size=10.5",,,,,,,,Y,,,,,,,,,,,,,1-15676,1.0,,,,58.19,SKU,,,,115.0,0.0
43736,,,887850847722,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,114.95,,,,,"[RT]Color=TEALGREE,[RB]Size=6.5",,,,,,,,N,,,,,,,,,,,,,1-15684,1.0,,,,58.19,SKU,,,,115.0,0.0
43737,,"X-Mission, 3, 2016, Salomon, Ski, NTFRSTBL, 10.5",,5.0,,,,Y,,[FIXED]114.95,,,,,,,,,,"X-Mission, 3, 2016, Salomon, Ski, NTFRSTBL, 10.5","X-Mission, 3, 2016, Salomon, Ski, NTFRSTBL, 10.5",4.0,,,,2.0,,,,Y,,,,114.95,,,,,,15676_0.jpg,,,"X-Mission, 3, 2016, Salomon, Ski, NTFRSTBL, 10.5",,,,Y,,,,,,"X-Mission, 3, 2016, Salomon, Ski, NTFRSTBL, 10.5",,,,,,,1-15676,,3.0,,,,Rule,1.0,,,115.0,0.0
43738,,"X-Mission, 3, 2016, Salomon, Ski, TEALGREE, 6.5",,5.0,,,,Y,,[FIXED]114.95,,,,,,,,,,"X-Mission, 3, 2016, Salomon, Ski, TEALGREE, 6.5","X-Mission, 3, 2016, Salomon, Ski, TEALGREE, 6.5",4.0,,,,2.0,,,,Y,,,,114.95,,,,,,,,,"X-Mission, 3, 2016, Salomon, Ski, TEALGREE, 6.5",,,,N,,,,,,"X-Mission, 3, 2016, Salomon, Ski, TEALGREE, 6.5",,,,,,,1-15684,,3.0,,,,Rule,1.0,,,115.0,0.0
43739,,"X-Mission, 3, 2019, Salomon, Ski, , ",889645763033,5.0,,,,Y,X-Mission 3 2019,115.0,,,,,Salomon Ski,,,by option,,"X-Mission, 3, 2019, Salomon, Ski, , ","X-Mission, 3, 2019, Salomon, Ski, , ",4.0,,,,2.0,P,,,Y,,,,115.0,,,,,X-Mission 3 2019,15702_0.jpg,,Lifestyle/Men/Shoes,"X-Mission, 3, 2019, Salomon, Ski, , ",,X-Mission 3 2019,"X-Mission, 3, 2019, Salomon, Ski, , ",Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, , ",,,,,,,0-15702,7.0,3.0,,,58.19,Product,1.0,"X-Mission, 3, 2019, Salomon, Ski, , ",,115.0,0.0
43740,,,889645763033,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=9",,,,,,,,Y,,,,,,,,,,,,,1-15702,1.0,,,,58.19,SKU,,,,115.0,0.0
43741,,,889645763040,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=9.5",,,,,,,,Y,,,,,,,,,,,,,1-15703,1.0,,,,58.19,SKU,,,,115.0,0.0
43742,,,889645763057,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=10",,,,,,,,Y,,,,,,,,,,,,,1-15704,1.0,,,,58.19,SKU,,,,115.0,0.0
43743,,,889645763064,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=10.5",,,,,,,,Y,,,,,,,,,,,,,1-15705,1.0,,,,58.19,SKU,,,,115.0,0.0
43744,,,889645763071,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=11",,,,,,,,Y,,,,,,,,,,,,,1-15706,2.0,,,,58.19,SKU,,,,115.0,0.0
43745,,,889645763095,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=12",,,,,,,,N,,,,,,,,,,,,,1-15707,0.0,,,,58.19,SKU,,,,115.0,0.0
43746,,,889645763118,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=URBCHIC,[RB]Size=13",,,,,,,,Y,,,,,,,,,,,,,1-15708,1.0,,,,58.19,SKU,,,,115.0,0.0
43747,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15702_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9",,,,,,,1-15702,,3.0,,,,Rule,1.0,,,115.0,0.0
43748,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9.5",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9.5","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9.5",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15703_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9.5",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 9.5",,,,,,,1-15703,,3.0,,,,Rule,1.0,,,115.0,0.0
43749,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15704_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10",,,,,,,1-15704,,3.0,,,,Rule,1.0,,,115.0,0.0
43750,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10.5",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10.5","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10.5",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15705_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10.5",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 10.5",,,,,,,1-15705,,3.0,,,,Rule,1.0,,,115.0,0.0
43751,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 11",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 11","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 11",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15706_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 11",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 11",,,,,,,1-15706,,3.0,,,,Rule,1.0,,,115.0,0.0
43752,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 12",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 12","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 12",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 12",,,,N,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 12",,,,,,,1-15707,,3.0,,,,Rule,1.0,,,115.0,0.0
43753,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 13",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 13","X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 13",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15708_0.jpg,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 13",,,,Y,,,,,,"X-Mission, 3, 2019, Salomon, Ski, URBCHIC, 13",,,,,,,1-15708,,3.0,,,,Rule,1.0,,,115.0,0.0
43754,,"X-Mission, 3, W, 2019, Salomon, Ski, , ",889645907833,5.0,,,,Y,X-Mission 3 W 2019,115.0,,,,,Salomon Ski,,,by option,,"X-Mission, 3, W, 2019, Salomon, Ski, , ","X-Mission, 3, W, 2019, Salomon, Ski, , ",4.0,,,,2.0,P,,,Y,,,,115.0,,,,,X-Mission 3 W 2019,15709_0.jpg,,Lifestyle/Women/Shoes,"X-Mission, 3, W, 2019, Salomon, Ski, , ",,X-Mission 3 W 2019,"X-Mission, 3, W, 2019, Salomon, Ski, , ",Y,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, , ",,,,,,,0-15709,1.0,3.0,,,58.19,Product,1.0,"X-Mission, 3, W, 2019, Salomon, Ski, , ",,115.0,0.0
43755,,,889645907833,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=7",,,,,,,,Y,,,,,,,,,,,,,1-15709,1.0,,,,58.19,SKU,,,,115.0,0.0
43756,,,889645907840,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=7.5",,,,,,,,N,,,,,,,,,,,,,1-15710,0.0,,,,58.19,SKU,,,,115.0,0.0
43757,,,889645907857,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=8",,,,,,,,N,,,,,,,,,,,,,1-15711,0.0,,,,58.19,SKU,,,,115.0,0.0
43758,,,889645907864,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=8.5",,,,,,,,N,,,,,,,,,,,,,1-15712,0.0,,,,58.19,SKU,,,,115.0,0.0
43759,,,889645907871,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=9",,,,,,,,N,,,,,,,,,,,,,1-15713,0.0,,,,58.19,SKU,,,,115.0,0.0
